RCH,AREAkm2,FLOW_OUTcms,NH4_OUTkg,NO3_OUTkg,NO2_OUTkg,ORGN_OUTkg,总氮负荷,系数1,总氮浓度,体积,Cs,K,环境容量1,系数2,环境容量2,环境容量3,系数4,环境容量4,系数5,环境容量
22,8.52E+02,13.75 ,361500.00 ,4.76E+04,7.55E+04,1.07E+06,1.55E+06,0.0000317098 ,3.580 ,1210669.25607885,1,0.05,-35.4807204464739,86400,0.700618782453038,-34.7801016640209,86.4,-3005.0007837714,0.365,-1096.82528607656
23,8.08E+02,17.37 ,59980.00 ,3.07E+04,8.33E+03,2.51E+06,2.61E+06,0.0000317098 ,4.763 ,14901146.5893567,1,0.05,-65.3598325722984,86400,8.62334872069254,-56.7364838516058,86.4,-4902.03220477874,0.365,-1789.24175474424
24,3.15E+03,56.48 ,870100.00 ,2.22E+05,1.82E+05,7.18E+06,8.45E+06,0.0000317098 ,4.747 ,1551159.99634702,1,0.05,-211.610436326738,86400,0.897662034923044,-210.712774291815,86.4,-18205.5836988128,0.365,-6645.03805006667
25,1.44E+02,2.01 ,56510.00 ,3.31E+03,7.64E+03,1.79E+05,2.46E+05,0.0000317098 ,3.888 ,81632.3408010774,1,0.05,-5.79566996448504,86400,0.0472409379635865,-5.74842902652145,86.4,-496.664267891453,0.365,-181.28245778038
26,1.08E+03,16.80 ,419100.00 ,7.66E+04,1.01E+05,1.29E+06,1.89E+06,0.0000317098 ,3.564 ,2881987.25333929,1,0.05,-43.0814053779807,86400,1.66781669753431,-41.4135886804464,86.4,-3578.13406199057,0.365,-1306.01893262656
27,1.22E+03,21.83 ,275500.00 ,6.87E+04,4.59E+04,3.45E+06,3.84E+06,0.0000317098 ,5.582 ,7947470.34346242,1,0.05,-100.033584474886,86400,4.59923052283705,-95.4343539520489,86.4,-8245.52818145702,0.365,-3009.61778623181
28,7.26E+02,12.01 ,289700.00 ,3.82E+04,6.86E+04,9.65E+05,1.36E+06,0.0000317098 ,3.595 ,5873897.58648776,1,0.05,-31.1625646879757,86400,3.39924628847671,-27.763318399499,86.4,-2398.75070971671,0.365,-875.544009046599
29,2.34E+03,39.05 ,767900.00 ,1.82E+05,1.68E+05,4.70E+06,5.82E+06,0.0000317098 ,4.722 ,3595204.06341762,1,0.05,-145.355124302385,86400,2.08055790707038,-143.274566395314,86.4,-12378.9225365552,0.365,-4518.30672584263
30,5.24E+03,89.05 ,1702000.00 ,4.14E+05,4.10E+05,1.16E+07,1.41E+07,0.0000317098 ,5.012 ,8175489.34043271,1,0.05,-357.27800608828,86400,4.73118596089856,-352.546820127382,86.4,-30460.0452590058,0.365,-11117.9165195371
31,5.30E+03,89.72 ,1731000.00 ,4.35E+05,4.15E+05,1.15E+07,1.41E+07,0.0000317098 ,4.987 ,5976675.38304309,1,0.05,-357.752729578894,86400,3.45872418000179,-354.294005398892,86.4,-30611.0020664643,0.365,-11173.0157542595
32,6.42E+03,104.20 ,1967000.00 ,4.91E+05,4.62E+05,1.28E+07,1.57E+07,0.0000317098 ,4.790 ,76397.9216950515,1,0.05,-394.90261288686,86400,0.0442117602401918,-394.858401126619,86.4,-34115.7658573399,0.365,-12452.2545379291
33,1.12E+03,14.46 ,194900.00 ,5.57E+04,4.62E+04,1.30E+06,1.59E+06,0.0000317098 ,3.491 ,5039331.34633591,1,0.05,-36.0181836631152,86400,2.91627971431476,-33.1019039488004,86.4,-2860.00450117636,0.365,-1043.90164292937
34,6.59E+03,106.30 ,2044000.00 ,5.01E+05,4.71E+05,1.30E+07,1.60E+07,0.0000317098 ,4.786 ,4368897.17948698,1,0.05,-402.4899543379,86400,2.52829697886978,-399.96165735903,86.4,-34556.6871958202,0.365,-12613.1908264744
35,1.65E+02,2.07 ,49530.00 ,2.87E+03,7.64E+03,2.19E+05,2.79E+05,0.0000317098 ,4.274 ,198162.739644404,1,0.05,-6.78801598173516,86400,0.114677511368289,-6.67333847036687,86.4,-576.576443839698,0.365,-210.45040200149
36,4.66E+02,6.35 ,60730.00 ,1.48E+04,6.97E+03,5.50E+05,6.33E+05,0.0000317098 ,3.159 ,3349465.96276514,1,0.05,-13.7136392694064,86400,1.93834835808168,-11.7752909113247,86.4,-1017.38513473846,0.365,-371.345574179536
37,6.61E+03,106.50 ,2058000.00 ,5.25E+05,4.80E+05,1.30E+07,1.60E+07,0.0000317098 ,4.774 ,12755119.2959258,1,0.05,-401.899923896499,86400,7.38143477773484,-394.518489118765,86.4,-34086.3974598613,0.365,-12441.5350728494
38,3.03E+02,4.29 ,21110.00 ,5.67E+03,5.00E+03,2.40E+05,2.72E+05,0.0000317098 ,2.010 ,1068922.38096811,1,0.05,-4.32910654490107,86400,0.618589340838027,-3.71051720406304,86.4,-320.588686431047,0.365,-117.014870547332
39,3.69E+02,4.67 ,49020.00 ,9.76E+03,9.46E+03,4.83E+05,5.51E+05,0.0000317098 ,3.748 ,1421964.62456573,1,0.05,-12.8211745306951,86400,0.822896194771835,-11.9982783359233,86.4,-1036.65124822377,0.365,-378.377705601676
40,1.08E+02,1.35 ,75410.00 ,2.47E+03,2.95E+03,6.07E+04,1.42E+05,0.0000317098 ,3.327 ,19688.5785085886,1,0.05,-3.13955276509386,86400,0.0113938533035814,-3.12815891179028,86.4,-270.27292997868,0.365,-98.6496194422183
